GNB3,SLC12A3
GNB3,SLC12A3
GNB3,GNAT3
GNB3,GNAT3
GNB3,PLCB2
GNB3,PLCB2
GNB3,GNAS
GNB3,GNAS
GNB3,PDCL
GNB3,PDCL
GNB3,GNG3
GNB3,GNG3
GNB3,GNG5
GNB3,GNG5
GNB3,GNG11
GNB3,GNG11
GNB3,GNG12
GNB3,GNG12
GNB3,GNG10
GNB3,GNG10
GNB3,GNGT1
GNB3,GNGT1
GNB3,GNG13
GNB3,GNG13
GNB3,GNG4
GNB3,GNG4
GNB3,GNGT2
GNB3,GNGT2
GNB3,GNG2
GNB3,GNG2
GNB3,GNG7
GNB3,GNG7
GNG13,PDCL
GNG13,PDCL
GNG13,GNG5
GNG13,GNG5
GNG13,GNG11
GNG13,GNG11
GNG13,GNG2
GNG13,GNG2
GNG13,GNG4
GNG13,GNG4
GNG13,GNG10
GNG13,GNG10
GNG13,GNG12
GNG13,GNG12
GNG13,GNGT1
GNG13,GNGT1
GNG13,GNGT2
GNG13,GNGT2
GNG13,GNG7
GNG13,GNG7
GNG13,GNG3
GNG13,GNG3
GNG13,PLCB2
GNG13,PLCB2
GNG13,GNAS
GNG13,GNAS
GNG13,GNAT3
GNG13,GNAT3
GNG11,GNGT1
GNG11,GNGT1
GNG11,GNGT2
GNG11,GNGT2
GNG11,GNG7
GNG11,GNG7
GNG11,PDCL
GNG11,PDCL
GNG11,PLCB2
GNG11,PLCB2
GNG11,GNAT3
GNG11,GNAT3
GNG11,GNG12
GNG11,GNG12
GNG11,GNG3
GNG11,GNG3
GNG11,GNG5
GNG11,GNG5
GNG11,GNG2
GNG11,GNG2
GNG11,GNAS
GNG11,GNAS
GNG11,GNG4
GNG11,GNG4
GNG11,GNG10
GNG11,GNG10
GNGT1,GNG12
GNGT1,GNG12
GNGT1,GNGT2
GNGT1,GNGT2
GNGT1,GNG2
GNGT1,GNG2
GNGT1,GNG10
GNGT1,GNG10
GNGT1,GNG5
GNGT1,GNG5
GNGT1,GNG3
GNGT1,GNG3
GNGT1,GNG7
GNGT1,GNG7
GNGT1,GNAT3
GNGT1,GNAT3
GNGT1,PLCB2
GNGT1,PLCB2
GNGT1,PDCL
GNGT1,PDCL
GNGT1,GNG4
GNGT1,GNG4
GNGT1,GNAS
GNGT1,GNAS
PDCL,GNG7
PDCL,GNG7
PDCL,GNG10
PDCL,GNG10
PDCL,GNG2
PDCL,GNG2
PDCL,GNG12
PDCL,GNG12
PDCL,GNGT2
PDCL,GNGT2
PDCL,GNG3
PDCL,GNG3
PDCL,GNG4
PDCL,GNG4
PDCL,GNG5
PDCL,GNG5
PLCB2,GNG10
PLCB2,GNG10
PLCB2,GNG12
PLCB2,GNG12
PLCB2,GNG7
PLCB2,GNG7
PLCB2,GNG5
PLCB2,GNG5
PLCB2,GNG3
PLCB2,GNG3
PLCB2,GNGT2
PLCB2,GNGT2
PLCB2,GNG4
PLCB2,GNG4
PLCB2,GNG2
PLCB2,GNG2
PLCB2,GNAT3
PLCB2,GNAT3
GNG3,GNG5
GNG3,GNG5
GNG3,GNG10
GNG3,GNG10
GNG3,GNG4
GNG3,GNG4
GNG3,GNG12
GNG3,GNG12
GNG3,GNGT2
GNG3,GNGT2
GNG3,GNAT3
GNG3,GNAT3
GNG3,GNG2
GNG3,GNG2
GNG3,GNG7
GNG3,GNG7
GNG3,GNAS
GNG3,GNAS
GNG2,GNG4
GNG2,GNG4
GNG2,GNG5
GNG2,GNG5
GNG2,GNG7
GNG2,GNG7
GNG2,GNG10
GNG2,GNG10
GNG2,GNG12
GNG2,GNG12
GNG2,GNGT2
GNG2,GNGT2
GNG2,GNAT3
GNG2,GNAT3
GNG2,GNAS
GNG2,GNAS
GNG5,GNG7
GNG5,GNG7
GNG5,GNG4
GNG5,GNG4
GNG5,GNAT3
GNG5,GNAT3
GNG5,GNG12
GNG5,GNG12
GNG5,GNG10
GNG5,GNG10
GNG5,GNGT2
GNG5,GNGT2
GNG5,GNAS
GNG5,GNAS
GNG12,GNG7
GNG12,GNG7
GNG12,GNG4
GNG12,GNG4
GNG12,GNAT3
GNG12,GNAT3
GNG12,GNG10
GNG12,GNG10
GNG12,GNGT2
GNG12,GNGT2
GNG12,GNAS
GNG12,GNAS
GNAS,GNAT3
GNAS,GNAT3
GNAS,GNGT2
GNAS,GNGT2
GNAS,GNG7
GNAS,GNG7
GNAS,GNG10
GNAS,GNG10
GNAS,GNG4
GNAS,GNG4
GNG10,GNG7
GNG10,GNG7
GNG10,GNG4
GNG10,GNG4
GNG10,GNAT3
GNG10,GNAT3
GNG10,GNGT2
GNG10,GNGT2
CLCNKB,SLC12A3
CLCNKB,SLC12A3
CLCNKB,BSND
CLCNKB,BSND
GNG7,GNGT2
GNG7,GNGT2
GNG7,GNG4
GNG7,GNG4
GNG7,GNAT3
GNG7,GNAT3
GNAT3,GNGT2
GNAT3,GNGT2
GNAT3,GNG4
GNAT3,GNG4
GNG4,GNGT2
GNG4,GNGT2
SLC12A3,BSND
SLC12A3,BSND
